question,options,answer,answer_idx,dataset_source
"A 55-year-old woman comes to the office for preventive health care. She has recently migrated to the United States from Hong Kong. Her past medical history is noncontributory. She denies smoking cigarettes or drinking alcohol. She last saw a doctor at the age of 14 when she was diagnosed with appendicitis and underwent an appendectomy. Her father died of a stroke at 59 years old and her mother died of a heart attack at 66 years old. She has 2 daughters who are in good health. Temperature is 37°C (98.7°F), blood pressure is 113/85 mm Hg, pulse is 69/min, respiratory rate is 14/min, and BMI is 24 kg/m2. Cardiopulmonary and abdominal examinations are negative.
Laboratory test
Complete blood count
Hemoglobin 12.5 g/dL
MCV 88 fl
Leukocytes 5,500/mm3
Platelets 155,000/mm3
Basic metabolic panel
Serum Na+ 135 mEq/L
Serum K+ 3.7 mEq/L
Serum Cl- 106 mEq/L
Serum HCO3- 25 mEq/L
BUN 10 mg/dL
Serum creatinine 0.8 mg/dL
Liver function test
Serum bilirubin 0.8 mg/dL
AST 30 U/L
ALT 35 U/L
ALP 130 U/L (20–70 U/L)
What is the next best step in management of this patient?","{""A"": ""Bone scan"", ""B"": ""Ultrasonography of the abdomen"", ""C"": ""Gamma glutamyl transferase"", ""D"": ""Anti mitochondrial antibody""}",Gamma glutamyl transferase,C,Med-QA
"A 3-year-old boy is brought to the emergency department by his mother. He started violently coughing, wheezing, and having difficulty breathing about 10 minutes ago. She had briefly left him lying on his back playing with toys and when she returned he was choking. She attempted the Heimlich maneuver with no improvement. He has a heart rate is 120/min, respiratory rate is difficult to evaluate, blood pressure of 110/65 mm Hg, and temperature of 37.0°C (98.6°F). A respiratory exam reveals wheezing and decreased breath sounds on the right side. A stat chest X-ray is ordered. Which of the following is the most likely site where the aspirated foreign body is lodged?","{""A"": ""Basilar segment of the right upper lobe"", ""B"": ""Posterior segment of the right upper lobe"", ""C"": ""Basilar segment of the left lower lobe"", ""D"": ""Basilar segment of the right lower lobe""}",Posterior segment of the right upper lobe,B,Med-QA
"A 38-year-old man presents with weakness, loss of appetite, headaches, and irritability. He developed these symptoms gradually over the past 4 months. He was diagnosed with Crohn’s disease, which was moderate at the time of diagnosis 6 months ago. He takes methotrexate 15 mg, which effectively controls his symptoms. The patient’s vital signs include: blood pressure 105/70 mm Hg, heart rate 102/min, respiratory rate 16/min, and temperature 36.4℃ (97.5℉). On physical examination, the patient is pale. His lungs are clear to auscultation. His heart sounds are rhythmic; a short early systolic murmur can be heard over the apex of the heart. The rest of the exam is unremarkable. The patient’s blood test shows the following findings:
Erythrocytes 2.7 x 109/mm3
Hb 9.3 g/dL
Hct 37%
Mean corpuscular hemoglobin  45.2 pg/cell (2.8 fmol/cell)
Mean corpuscular volume 122 µm3 (122 fL)
Reticulocyte count 0.4%
Total leukocyte count 3050/mm3
Neutrophils 62%
Lymphocytes 32%
Eosinophils 1%
Monocytes 5%
Basophils 0%
Platelet count 199,000/mm3
Which of the following drugs should be prescribed to this patient?","{""A"": ""Riboflavin"", ""B"": ""Niacin"", ""C"": ""Pyridoxine"", ""D"": ""Folic acid""}",Folic acid,D,Med-QA
"A 75-year-old man with coronary artery disease and mitral valve stenosis status-post coronary artery bypass graft and mitral bioprosthetic valve replacement is evaluated in the intensive care unit. His postsurgical course was complicated by ventilator-associated pneumonia and bilateral postoperative pleural effusions requiring chest tubes. He has been weaned from the ventilator and has had his chest tubes removed but has required frequent suctioning to minimize aspirations. He has been dependent on a percutaneous gastrostomy tube for enteral nutrition for the past four weeks. He is currently on aspirin, carvedilol, atorvastatin, ceftazidime, and pantoprazole. He has a history of prostate cancer status post radical prostatectomy. His temperature is 96°F (35.6°C), blood pressure is 95/55 mmHg, pulse is 50/min, and respirations are 20/min. On physical exam, he is not alert and oriented but responds with moans when stimulated. His laboratory data are listed below:

Serum:
Na+: 145 mEq/L
Cl-: 110 mEq/L
K+: 3.4 mEq/L
HCO3-: 26 mEq/L
BUN: 10 mg/dL
Glucose: 112 mg/dL
Creatinine: 1.4 mg/dL
Thyroid-stimulating hormone: 10 µU/mL
Ca2+: 11.1 mg/dL
PO4-: 1.0 mg/dL
AST: 6 U/L
ALT: 10 U/L
Albumin: 2.5 mg/dL
Lactate dehydrogenase: 200 U/L (140-280 U/L)
Haptoglobin: 150 mg/dL (30-200 mg/dL)
1,25-(OH)2 D3: 10 pg/mL (15-75 pg/mL)
Parathyroid hormone: 9 pg/mL (10-60 pg/mL)

Leukocyte count: 10,000 cells/mm^3 with normal differential
Hemoglobin: 9 g/dL
Hematocrit: 30 %
Platelet count: 165,000 /mm^3

His electrocardiogram and chest radiograph are shown in Figures A and B. What is the most likely cause of his hypercalcemia?","{""A"": ""Euthyroid sick syndrome"", ""B"": ""Immobilization"", ""C"": ""Malignancy"", ""D"": ""Primary hyperparathyroidism""}",Immobilization,B,Med-QA
"A 69-year-old man comes to the physician with a 9-month history of worsening shortness of breath on exertion and need to urinate at night. He occasionally has palpitations but does not have chest pain. The patient had a transient ischemic attack 5 years ago for which he underwent right-sided carotid endarterectomy. He has hypertension and type 2 diabetes mellitus. Current medications include metformin, lisinopril, aspirin, and simvastatin. He appears fatigued. His pulse is 61/min, blood pressure is 120/75 mmHg, and respirations are 25/min. Pulse oximetry shows an oxygen saturation of 96%. Examination shows cold extremities. There are no murmurs or rubs on cardiac auscultation. Fine, bilateral crackles are heard at the lung bases. There is 2+ lower extremity edema. An ECG shows sinus rhythm and known T wave inversions in leads V1 to V4. Which of the following agents is most likely to improve the patient's long-term survival?","{""A"": ""Eplerenone"", ""B"": ""Ivabradine"", ""C"": ""Verapamil"", ""D"": ""Digoxin""}",Eplerenone,A,Med-QA
"A 22-year-old woman presents to her primary care provider complaining of a facial rash. She says the rash began 3 weeks ago after hiking in the White Mountains of New Hampshire this summer. Since that time she has also experienced pain in her hands and wrists that is worse in the morning and accompanied by subjective fevers. She denies chest pain, shortness of breath, nausea, or vomiting. Vital signs are 99.6°F (37.6°F), blood pressure is 134/82 mmHg, pulse is 88/min, and respirations are 18/min. Examination demonstrates a rash on the patient's face that spares the nasolabial folds along with oral ulcers. The metacarpophalangeal joints are tender to palpation, and range of motion is limited by pain. Complete blood count demonstrates normocytic anemia with thrombocytopenia. Which of the following is the next best step in diagnosis?","{""A"": ""Anti-cardiolipin antibodies"", ""B"": ""Anti-dsDNA antibodies"", ""C"": ""Anti-nuclear antibodies"", ""D"": ""Anti-Smith antibodies""}",Anti-nuclear antibodies,C,Med-QA
"A 70-year-old man comes to the emergency department after briefly losing consciousness and collapsing when rising from a chair. He did not sustain any injuries from his collapse. He has had a two-week history of dizziness upon standing. He has smoked one pack of cigarettes daily for 55 years. He drinks three beers and two glasses of whiskey daily. He currently takes dutasteride and tamsulosin for benign prostatic hyperplasia. His blood pressure is 120/80 mm Hg supine and 100/70 mm Hg one minute after standing with no change in pulse rate. Physical examination shows conjunctival pallor. On cardiac auscultation, there is a plopping sound followed by a low-pitched, rumbling mid-diastolic murmur heard best at the apex. Which of the following is the most likely cause of this patient's presentation?","{""A"": ""Stokes-Adams attack"", ""B"": ""Constricted aortic valve orifice"", ""C"": ""Cardiac tumor"", ""D"": ""Left ventricular dilation""}",Cardiac tumor,C,Med-QA
"A 6-month-old infant is brought to a pediatrician for his scheduled immunizations. The parents deny any specific current complaints, but his facial features differ from those of other children in the family. During the physical examination, the pediatrician notes that the infant’s vital signs are stable. His facial features include a medial epicanthic fold, a face that appears flat, and a flat occiput with low-set ears. The pediatrician also notes a single transverse palmar crease on both hands. An echocardiogram is performed which suggests that the infant has a congenital heart disease which is the most common form of congenital heart disease seen in children with this particular genetic disorder. Which of the following congenital heart diseases does this infant most likely present with?","{""A"": ""Supravalvar aortic stenosis"", ""B"": ""Tetralogy of Fallot"", ""C"": ""Atrial septal defect"", ""D"": ""Atrioventricular septal defect""}",Atrioventricular septal defect,D,Med-QA
"A 32-year-old white woman comes to the physician because of fatigue, lethargy, and swelling of the lower legs for 2 months. She reports recurrent episodes of pain in both wrists, her right knee, and her right ankle in the past year. She has had skin problems that are aggravated by exposure to sunlight for the past 18 months. She has smoked one pack of cigarettes daily for 13 years and drinks one alcoholic beverage daily. Her temperature is 37°C (98.6°F), pulse is 92/min, and blood pressure is 115/75 mm Hg. Examination shows 2+ pretibial edema bilaterally and periorbital edema. There are erythematous patches with scaling on both cheeks. Laboratory studies show:
Hemoglobin 11.2 g/dL
Leukocyte count 8500/mm3
Platelet count 130,000/mm3
Serum
Urea nitrogen 36 mg/dL
Glucose 77 mg/dL
Creatinine 0.9 mg/dL
Albumin 2.6 mg/dL
Total cholesterol 275 mg/dL
Triglycerides 180 mg/dL
Urine
Blood negative
Glucose negative
Protein 4+
WBC 0–1/hpf
Fatty casts numerous
A renal biopsy specimen is most likely to show which of the following?""","{""A"": ""Thickened capillary loops"", ""B"": ""Segmental sclerosis"", ""C"": ""Crescent formation"", ""D"": ""Hypercellular glomeruli""}",Thickened capillary loops,A,Med-QA
A 60-year-old man presents to the clinic with his wife for “weird breathing” during the night. The patient’s wife says that his breathing pattern is irregular but he does not snore. The patient says he is not aware of these symptoms. Past medical history is remarkable for an NSTEMI when he was 50 years old. He spends a night at the sleep lab where his tidal volume is monitored overnight and a tracing is shown in the image below. Which of the following is most likely responsible for this patient’s breathing pattern?,"{""A"": ""Diabetic ketoacidosis"", ""B"": ""Hypothyroidism"", ""C"": ""Left ventricular heart failure"", ""D"": ""Obesity""}",Left ventricular heart failure,C,Med-QA
"A 72-year-old man with a history of chronic kidney disease presents to his primary care physician complaining of recurrent chest pain with activity. The patient used to have chest pain when he mowed his lawn. Now he gets chest pain whenever he walks short distances such as to get his mail. The pain resolves on its own when the patient sits and rests. His temperature is 98.2°F (36.8°C), blood pressure is 157/98 mm Hg, pulse is 80/min, respirations are 15/min, and oxygen saturation is 98% on room air. Physical exam is notable for an obese man who is in no distress. An initial ECG is unchanged from a previous ECG. The patient's first troponin is 0.06 ng/mL which is unchanged from previous troponins. Which of the following is the most likely diagnosis?","{""A"": ""NSTEMI"", ""B"": ""Stable angina"", ""C"": ""Unstable angina"", ""D"": ""Variant angina""}",Unstable angina,C,Med-QA
"A 24-year-old man is brought in to the emergency room after being retrieved by firefighters from a burning building. The patient is responding coherently to questions but reports pain secondary to a burn on his leg. He states he also has a headache and feels dizzy. His temperature is 98.5°F (36.9°C), blood pressure is 129/66 mmHg, pulse is 126/min, respirations are 14/min, and oxygen saturation is 99% on room air. Physical exam is notable for a confused young man with dry and flushed skin. Cardiopulmonary exam reveals a normal S1 and S2 as well as clear breath sounds bilaterally. The patient’s neurological exam is within normal limits. Towards the end of his exam, the patient begins vomiting. Dermatologic exam reveals a superficial burn covering 1% of the patient’s body over his right leg. Which of the following is the best next step in management for this patient?","{""A"": ""100% oxygen"", ""B"": ""Hydroxocobalamin"", ""C"": ""Normal saline"", ""D"": ""Ondansetron""}",100% oxygen,A,Med-QA
"A 73-year-old male is brought to his family practitioner by his daughter with the complaints of a spinning sensation for the past 4 weeks. He says that the room appears to be continuously spinning. This has progressively worsened over the last 4 weeks to the point that he has become bed bound and cannot walk without support. These spinning sensations are present throughout the day and do not change with position. They are associated with nausea and vomiting. He denies ear pain, ear discharge, ringing in the ear, hearing disturbances, ear fullness, head trauma, fever, or recent flu-like illness. He has a blood pressure of 133/80 mm Hg, heart rate of 80/min, respiratory rate of 12/min, and temperature of 36.7°C (98.2°F). His extraocular eye movements are normal in all directions, but a vertical nystagmus is present that does not disappear despite repetitive testing. Hearing tests are within normal limits. What is the most likely diagnosis?","{""A"": ""Acute labyrinthitis"", ""B"": ""Benign paroxysmal positional vertigo"", ""C"": ""Cerebellar tumor"", ""D"": ""Meniere's disease""}",Cerebellar tumor,C,Med-QA
"A 79-year-old man presents to the emergency room after a syncopal event. The patient has a history of hyperlipidemia for which he is taking atorvastatin. On physical examination, his vital signs are stable, but on cardiac auscultation, you detect a crescendo-decrescendo systolic murmur loudest on the right upper sternal border radiating to the neck. On physical exam, one would also expect:","{""A"": ""That the murmur would best be heard in the lateral left decubitus position"", ""B"": ""The character of the murmur would be machine-like"", ""C"": ""The murmur would also have a mid-systolic click loudest before S2"", ""D"": ""Palpation of the carotid pulse would be weak and late relative to the patient’s heart sounds""}",Palpation of the carotid pulse would be weak and late relative to the patient’s heart sounds,D,Med-QA
"A 49-year-old woman presents to her primary care physician due to fatigue and shortness of breath. She finds herself being short of breath when climbing the stairs or walking uphill. Approximately 1 year ago, she was able to partake in long-distance running and weightlifting. Two weeks ago she noticed blood-tinged sputum after severely coughing during sleep. She emigrated from Mexico to the United States 3 years ago. Her temperature is 98°F (36.7°C), blood pressure is 100/62 mmHg, pulse is 135/min and irregularly irregular, and respirations are 21/min. On physical exam her speech is hoarse. She has bilateral crackles heard in the lung bases. Which of the following will most likely be found on cardiac auscultation?","{""A"": ""Crescendo-decrescendo systolic ejection murmur"", ""B"": ""High-pitched, early diastolic decrescendo murmur"", ""C"": ""Holosystolic, high-pitched murmur loudest at the left lower sternal border"", ""D"": ""Opening snap with a mid-to-late diastolic murmur""}",Opening snap with a mid-to-late diastolic murmur,D,Med-QA
"A 45-year-old man presents to the outpatient unit with a complaint of lower extremity edema for the past few weeks. He has also been observing puffiness of the face lately. The urinalysis shows 4+ proteinuria. The serum creatinine is 3.5 mg/dL, and antinuclear antibodies are absent. The biopsy findings are given in the picture. What is the most likely cause of the following findings?","{""A"": ""Membranoproliferative glomerulonephritis"", ""B"": ""Rapidly progressive glomerlonephritis"", ""C"": ""Postinfectious glomerulonephritis"", ""D"": ""Membranous glomerulonephritis""}",Membranous glomerulonephritis,D,Med-QA
"A 28-year-old G1P0 primigravida woman at 28 weeks estimated gestational age presents for routine prenatal care. She has no complaints and says she can feel her baby move and respond to outside sounds. The patient has no significant past medical or family history. Currently, she is taking a prenatal multivitamin which contains iron and folic acid. Her blood type is A (-) negative, and her husband is A (+) positive. The patient says she stopped drinking alcohol 2 years ago and denies any history of smoking or recreational drug use. Her pulse is 90/min, blood pressure is 114/68 mm Hg, and respiratory rate is 18/min. She has gained 9.0 kg (19.8 lb) over the course of the pregnancy. Physical examination shows a gravid uterus, extending 28 cm above the pubic symphysis. Occasional movements are observed in the abdomen. There is no guarding or tenderness to palpation. Fetal heart sounds can be auscultated. The remainder of the examination is unremarkable. The patient is administered an injection of RhO(D) immunoglobulin (RhoGAM). Which of the following statements best describes the rationale for administering RhO(D) immunoglobulins (RhoGAM) in this patient?","{""A"": ""RhO(D) immunoglobulin will prevent hemolytic disease in this pregnancy."", ""B"": ""The father requires RhO(D) immunoglobulin administration rather than the patient."", ""C"": ""RhO(D) immunoglobulins will prevent anti-D antibody formation in the mother."", ""D"": ""RhO(D) immunoglobulins will prevent anti-D antibody formation in the fetus.""}",RhO(D) immunoglobulins will prevent anti-D antibody formation in the mother.,C,Med-QA
"A 24-year-old woman presents to a physician with recurrent episodes of palpitations, shortness of breath, and perspiration. The episodes are self-limited and are usually preceded by specific social circumstances that she does not enjoy. There is no significant past medical history. After a complete history and physical examination, the physician diagnoses an anxiety disorder. He explains that anxiety is associated with the stimulation of the sympathetic nervous system which produces several symptoms related to anxiety such as tachycardia. Which of the following cellular mechanisms best explains the effects of stimulation of sympathetic cardiac nerves on the pacemaker cells in the sinoatrial node?","{""A"": ""Decreased intracellular cyclic adenosine monophosphate (cAMP) level in the sinoatrial node"", ""B"": ""Inactivation of L-type voltage-gated calcium channels"", ""C"": ""Facilitation of If currents through HCN channels"", ""D"": ""Opening of G-protein activated potassium channels""}",Facilitation of If currents through HCN channels,C,Med-QA
"A 14-year-old boy is brought to the office by his parents because he states that for the past 2 months he has been feeling constantly tired, and also noticed a dull pain in the pit of his stomach. The patient has no relevant family history. The vital signs include a heart rate of 105/min, a respiratory rate of 16/min, a temperature of 37.0°C (98.6°F), and a blood pressure of 111/66 mm Hg. On physical exam, the abdomen is distended with hepatomegaly 5 cm underneath the xiphoid process. The complete blood count results are as follows:
Hemoglobin 17.6 g/dL
Hematocrit 64%
RBC 6.02 x 1012/L
Leukocyte count
26,300/mm3
Neutrophils 55%
Bands 2%
Eosinophils 1%
Basophils 0%
Lymphocytes 29%
Monocytes 2%
Platelet count 480,000/mm³
Erythropoietin < 1.0 mU/mL
The coagulation test results are as follows:
Partial thromboplastin time (activated) 30.9 s
Prothrombin time 14.0 s
The abdominal Doppler ultrasound imaging is shown in the picture. What is the most likely etiology of this patient’s diagnosis?","{""A"": ""Behçet's syndrome"", ""B"": ""Protein C deficiency"", ""C"": ""Factor V Leiden mutation"", ""D"": ""Polycythemia vera""}",Polycythemia vera,D,Med-QA
"A 25-year-old man comes to the emergency department because of left flank pain for 2 hours. The pain is colicky in nature and he describes it as 8 out of 10 in intensity. He has nausea and has vomited once. He had a similar episode 6 months ago for which he took naproxen. There is no personal or family history of serious illness. He is a second-year medical student and has been consuming more coffee and energy drinks than normal to stay awake and study for the past 2 days. He does not smoke or drink alcohol. He takes no medications. His temperature is 37.3°C (99.1°F), pulse is 98/min, and blood pressure is 124/78 mm Hg. The abdomen is soft and nontender. Examination of the back shows no costovertebral angle tenderness. The remainder of the examination shows no abnormalities. Urinalysis is unremarkable. Which of the following is the most likely underlying cause of this patient's symptoms?","{""A"": ""Bilateral renal cysts"", ""B"": ""Glomerular IgA deposits"", ""C"": ""Ureteropelvic junction obstruction"", ""D"": ""Ascending urinary tract infection\n\""""}",Ureteropelvic junction obstruction,C,Med-QA
"A 41-year-old woman presents with acute right flank pain for the past 6 hours. She says the pain is severe, colicky, ‘comes in waves’, and is localized to the right flank. She also has associated nausea and vomiting. The patient is afebrile, and her vital signs are within normal limits. On physical examination, she is writhing in pain and moaning. There is severe right costovertebral angle tenderness. Gross hematuria is present on urinalysis. A noncontrast CT of the abdomen and pelvis reveals a 4-mm-diameter radiopaque stone obstructing the right ureteropelvic junction. Aggressive IV fluid hydration is started, and ondansetron is administered. Which of the following is the next best step in the management of this patient?","{""A"": ""Renal ultrasound"", ""B"": ""24-hour urine chemistry"", ""C"": ""Potassium citrate"", ""D"": ""Hydrocodone/acetaminophen""}",Hydrocodone/acetaminophen,D,Med-QA
"A 55-year-old man presents to the emergency department with chest pain that started 1 hour ago and has not been improving. He has a past medical history of diabetes, hypertension, and obesity. His temperature is 98.5°F (36.9°C), blood pressure is 147/68 mmHg, pulse is 130/min, respirations are 13/min, and oxygen saturation is 100% on room air. Physical exam is notable for jugular venous distension and bilateral lower extremity pitting edema. The patient is given nitroglycerin, and his chest pain improves. Which of the following is the best explanation for this patient’s improvement in symptoms?","{""A"": ""Coronary artery vasodilation"", ""B"": ""Decreased adrenergic tone"", ""C"": ""Mu receptor agonism"", ""D"": ""Preload reduction""}",Preload reduction,D,Med-QA
"A 4-year-old girl presents to the pediatrician’s office for a physical examination prior to starting preschool. She was born at 39 weeks gestation via spontaneous vaginal delivery. She is up to date on all vaccines and is meeting all developmental milestones. Past medical history is noncontributory. She takes no medications but does take a chewable vitamin daily. She lives with her parents and older brother in a house. Today, her blood pressure is 110/65 mm Hg, heart rate is 90/min, respiratory rate is 22/min, and temperature of 37.0°C (98.6°F). On physical exam, she appears well developed and pleasant. She sits listening to the conversation and follows directions. Palpation of the heart reveals a mild parasternal heave. Auscultation reveals a normal S1 but the S2 is split and remains split during inhalation and exhalation. Additionally, there is a medium pitched midsystolic murmur that is loudest between ribs 2 and 3 on the left side and a very soft diastolic rumble. Which of the following congenital defects is the most likely cause of these findings?","{""A"": ""Atrial septal defect"", ""B"": ""Coarctation of the aorta"", ""C"": ""Patent ductus arteriosus"", ""D"": ""Tetralogy of Fallot""}",Atrial septal defect,A,Med-QA
"A 24-year-old man is brought to the emergency department after his head was hit with a bat during a baseball game. His teammates state that he was unresponsive after the incident but regained consciousness after 15 minutes. The patient initially refused to go to the hospital and sat on the bench for the remainder of the game. He initially appeared fine but became increasingly confused. He appears lethargic but opens his eyes to loud verbal commands. He is oriented to person and place. His temperature is 37.1 (98.8°F), pulse is 78/min, respiratory rate is 16/min, and blood pressure is 148/87 mm Hg. Examination shows an area of soft-tissue swelling over the left temporal region. A complete blood count and serum concentrations of electrolytes, urea nitrogen, and creatinine are within the reference range. A CT scan of the head is shown. After returning from the CT scan, the patient only opens his eyes to painful stimuli and responds to questions with incomprehensible sounds. He withdraws from painful stimuli. On repeat examination, the left pupil is 6 mm in diameter and reacts minimally to light. The right pupil is 3 mm in diameter and reacts normally to light. His respiratory rate is 10/min and he is intubated in the emergency department. Which of the following is the most appropriate next step in management?","{""A"": ""Adminster hypotonic saline"", ""B"": ""Administer dexamethasone"", ""C"": ""Perform craniotomy"", ""D"": ""Perform brain MRI""}",Perform craniotomy,C,Med-QA
"A 58-year-old woman comes to the physician for a routine follow-up examination. She has a history of type 2 diabetes mellitus, hypertension, and asthma. Last year, she received laser photocoagulation for proliferative retinopathy. Her current medications include metformin, lisinopril, and an albuterol inhaler. Her mother died of complications from diabetes. She drinks 1 glass of wine daily with dinner and does not smoke. Her temperature is 37.2°C (99°F), pulse is 92/min, respirations are 14/min, and blood pressure is 152/98 mm Hg. Cardiopulmonary examination is unremarkable. There is decreased sensation to monofilament testing of the plantar surfaces of both feet. Laboratory studies show:
Today 6 months ago
Hemoglobin A1c 6.2% 6.4%
Serum
Creatinine 1.3 mg/dL 1.1 mg/dL
Urine
Albumin:creatinine ratio (N < 30) 470 mg/g 260 mg/g
The addition of which of the following medications is most likely to have prevented this patient's progressively worsening renal function?""","{""A"": ""Losartan"", ""B"": ""Aspirin"", ""C"": ""Atorvastatin"", ""D"": ""Amlodipine""}",Amlodipine,D,Med-QA
"An 18-month-old boy is brought to the emergency department 25 minutes after an episode of loss of consciousness. The child began crying after his 4-year-old brother snatched a toy from him. The brief shrill cry was followed by a period of expiration; he then turned blue, became unconscious, and briefly lost his muscle tone, before he stiffened and had jerky movements of his arms and legs for 15 seconds. After this episode, he immediately regained consciousness. He had a similar episode 2 weeks ago when his father refused to give him a juice box. He has been healthy and has met all his developmental milestones. Vital signs are within normal limits. He is alert and active. Cardiopulmonary examination shows no abnormalities. Neurologic examination shows no focal findings. Which of the following is the most appropriate next step in management?","{""A"": ""CT scan of the head"", ""B"": ""Echocardiography"", ""C"": ""Reassurance"", ""D"": ""Tilt table test""}",Reassurance,C,Med-QA
"A 63-year-old man presents to the emergency department with the sudden onset of excruciating chest pain, which he describes as a tearing sensation. He was diagnosed with essential hypertension 20 years ago, but he is not compliant with his medications. On physical examination, the temperature is 37.1°C (98.8°F), heart rate is 95/min, and blood pressure is 195/90 mm Hg in the right arm and 160/80 mm Hg in the left arm. The pulses are absent in his right leg and diminished in his left leg. A chest X-ray shows a widened mediastinum. Which of the following is the next best step?","{""A"": ""CT scan"", ""B"": ""Surgery"", ""C"": ""D-dimer"", ""D"": ""Intravenous ultrasound""}",CT scan,A,Med-QA
"Two weeks after undergoing an emergency cardiac catherization with stenting for unstable angina pectoris, a 61-year-old man has decreased urinary output and malaise. He has type 2 diabetes mellitus and osteoarthritis of the hips. Prior to admission, his medications were insulin and naproxen. He was also started on aspirin, clopidogrel, and metoprolol after the coronary intervention. His temperature is 38°C (100.4°F), pulse is 93/min, and blood pressure is 125/85 mm Hg. Examination shows mottled, reticulated purplish discoloration of the feet. Laboratory studies show:
Hemoglobin count 14 g/dL
Leukocyte count 16,400/mm3
Segmented neutrophils 56%
Eosinophils 11%
Lymphocytes 31%
Monocytes 2%
Platelet count 260,000/mm3
Erythrocyte sedimentation rate 68 mm/h
Serum
Urea nitrogen 25 mg/dL
Creatinine 4.2 mg/dL
Renal biopsy shows intravascular spindle-shaped vacuoles. Which of the following is the most likely cause of this patient's symptoms?""","{""A"": ""Renal papillary necrosis"", ""B"": ""Cholesterol embolization"", ""C"": ""Eosinophilic granulomatosis with polyangiitis"", ""D"": ""Polyarteritis nodosa""}",Cholesterol embolization,B,Med-QA
A 68-year-old male comes to the physician for evaluation of right flank pain. He has a history of diabetes and peripheral artery disease. His blood pressure is 160/90 mm Hg. Physical examination shows abdominal tenderness and right flank tenderness. An ultrasound shows dilation of the right ureter and renal pelvis. Which of the following is the most likely underlying cause of this patient's condition?,"{""A"": ""Renal artery stenosis"", ""B"": ""Benign prostatic hyperplasia"", ""C"": ""Common iliac artery aneurysm"", ""D"": ""Urethral stricture""}",Common iliac artery aneurysm,C,Med-QA
"A 65-year-old man is brought to the emergency department 30 minutes after the onset of acute chest pain. He has hypertension and asthma. Current medications include atorvastatin, lisinopril, and an albuterol inhaler. He appears pale and diaphoretic. His pulse is 114/min and blood pressure is 130/88 mm Hg. An ECG shows ST-segment depressions in leads II, III, and aVF. Laboratory studies show an increased serum troponin T concentration. The patient is treated for acute coronary syndrome and undergoes percutaneous transluminal coronary angioplasty. At the time of discharge, echocardiography shows a left ventricular ejection fraction of 58%. In addition to aspirin, which of the following drugs should be added to this patient's medication regimen?","{""A"": ""Nifedipine"", ""B"": ""Enoxaparin"", ""C"": ""Clopidogrel"", ""D"": ""Spironolactone""}",Clopidogrel,C,Med-QA
"A 37-year-old-woman presents to her primary care physician requesting a new form of birth control. She has been utilizing oral contraceptive pills (OCPs) for the past 8 years, but asks to switch to an intrauterine device (IUD). Her vital signs are: blood pressure 118/78 mm Hg, pulse 73/min and respiratory rate 16/min. She is afebrile. Physical examination is within normal limits. Which of the following past medical history statements would make copper IUD placement contraindicated in this patient?","{""A"": ""A history of stroke or venous thromboembolism"", ""B"": ""Active or recurrent pelvic inflammatory disease (PID)"", ""C"": ""Past medical history of breast cancer"", ""D"": ""Known liver neoplasm""}",Active or recurrent pelvic inflammatory disease (PID),B,Med-QA
"A 24-year-old G2P1 woman at 39 weeks’ gestation presents to the emergency department complaining of painful contractions occurring every 10 minutes for the past 2 hours, consistent with latent labor. She says she has not experienced vaginal discharge, bleeding, or fluid leakage, and is currently taking no medications. On physical examination, her blood pressure is 110/70 mm Hg, heart rate is 86/min, and temperature is 37.6°C (99.7°F). She has had little prenatal care and uses condoms inconsistently. Her sexually transmitted infections status is unknown. As part of the patient’s workup, she undergoes a series of rapid screening tests that result in the administration of zidovudine during delivery. The infant is also given zidovudine to reduce the risk of transmission. A confirmatory test is then performed in the mother to confirm the diagnosis of HIV. Which of the following is most true about the confirmatory test?","{""A"": ""It is a Southwestern blot, identifying the presence of DNA-binding proteins"", ""B"": ""It is a Northern blot, identifying the presence of RNA"", ""C"": ""It is a Northern blot, identifying the presence of DNA"", ""D"": ""It is an HIV-1/HIV2 antibody differentiation immunoassay""}",It is an HIV-1/HIV2 antibody differentiation immunoassay,D,Med-QA
"A 72-year-old man comes to the physician because of a 2-month history of fatigue and worsening abdominal pain. During this period, he also has excessive night sweats and shortness of breath on exertion. Over the past 3 months, he has had a 5.6-kg (12-lb) weight loss. He had a myocardial infarction 3 years ago. He has hypertension, diabetes mellitus, and chronic bronchitis. His medications include insulin, aspirin, lisinopril, and an albuterol inhaler. He has smoked half a pack of cigarettes for the past 45 years. Vital signs are within normal limits. The spleen is palpated 6 cm below the left costal margin. Laboratory studies show:
Hemoglobin 6.4 g/dL
Mean corpuscular volume 85 μm3
Leukocyte count 5,200/mm3
Platelet count 96,000/mm3
A blood smear is shown. Bone marrow aspiration shows extensive fibrosis and a few scattered plasma cells. A JAK 2 assay is positive. Which of the following is the most appropriate next step in management?""","{""A"": ""Cladribine"", ""B"": ""Prednisone"", ""C"": ""Imatinib"", ""D"": ""Ruxolitinib""}",Ruxolitinib,D,Med-QA
